company_id,name,address,city,state,zip_code,phone_number,industry,website
1,Acme Corp,123 Main St,Anytown,CA,91234,555-123-4567,Technology,www.acme.com
2,Beta Industries,456 Oak Ave,Springfield,IL,62704,555-222-3333,Manufacturing,www.beta-ind.com
3,Gamma Solutions,789 Pine Ln,Hill Valley,WA,98052,555-444-5555,Consulting,www.gamma-solutions.net
4,Delta Group,101 Elm Rd,New York,NY,10001,555-555-6666,Finance,www.delta-group.org
5,Epsilon Systems,222 Maple Dr,Austin,TX,78701,555-666-7777,Software,www.epsilon-systems.io
6,Zeta Enterprises,333 Cherry St,Miami,FL,33101,555-777-8888,Real Estate,www.zeta-enterprises.biz
7,Eta Innovations,444 Oak St,Chicago,IL,60601,555-888-9999,Research,www.eta-innovations.com
8,Theta Dynamics,555 Pine St,Los Angeles,CA,90001,555-999-0000,Aerospace,www.theta-dynamics.net
9,Iota Logistics,666 Elm St,Atlanta,GA,30303,555-000-1111,Transportation,www.iota-logistics.org
10,Kappa Ventures,777 Maple St,Denver,CO,80202,555-111-2222,Venture Capital,www.kappa-ventures.io
