review_id,employee_id,reviewer_id,review_date,rating,comments,goals_set,review_status
1,1,2,2023-01-15,4,Exceeded expectations in Q4.,Improve communication skills; lead a project.,Draft
2,2,3,2023-02-20,3,Meets expectations. Consistent performance.,Enhance technical skills; mentor a junior employee.,Draft
3,3,4,2023-03-25,5,Outstanding performance. A valuable asset.,Present at industry conference; develop a new product feature.,Draft
4,4,5,2023-04-30,2,Needs improvement in teamwork.,Participate in team-building activities; improve collaboration.,Draft
5,5,6,2023-05-05,4,Strong problem-solving skills.,Lead a problem-solving workshop; document solutions.,Draft
6,6,7,2023-06-10,3,Good performance overall.,Take on more challenging assignments; improve time management.,Draft
7,7,8,2023-07-15,5,Exceptional leadership skills.,Mentor new leaders; develop a leadership training program.,Draft
8,8,9,2023-08-20,2,Needs to improve attention to detail.,Attend a quality control workshop; double-check work.,Draft
9,9,10,2023-09-25,4,Consistently delivers high-quality work.,Share best practices with team; present on a successful project.,Draft
10,10,1,2023-10-30,3,Reliable and dependable team member.,Learn a new software tool; improve cross-functional collaboration.,Draft
