review_id,employee_id,reviewer_id,review_date,rating,comments,goals_set,review_status
1,1,2,2023-01-15,4,Employee consistently exceeds expectations.,Improve public speaking skills.,Draft
2,2,3,2023-02-20,3,Meets expectations. Needs improvement in time management.,Attend time management workshop.,Draft
3,3,4,2023-03-10,5,Outstanding performance. A valuable asset to the team.,Mentor junior team members.,Draft
4,4,5,2023-04-05,2,Needs significant improvement in communication skills.,Complete communication training course.,Draft
5,5,6,2023-05-12,4,Strong technical skills. Contributes effectively to projects.,Lead a technical project.,Draft
6,6,7,2023-06-18,3,Meets expectations. Could improve problem-solving skills.,Participate in problem-solving workshops.,Draft
7,7,8,2023-07-24,5,Exceptional leadership skills. Drives team success.,Develop and implement a new team strategy.,Draft
8,8,9,2023-08-30,2,Requires improvement in teamwork and collaboration.,Actively participate in team-building activities.,Draft
9,9,10,2023-09-05,4,Demonstrates initiative and a strong work ethic.,Take on more challenging assignments.,Draft
10,10,1,2023-10-11,3,Meets expectations. Needs to improve attention to detail.,Implement a checklist system for tasks.,Draft
