company_id,name,address,city,state,zip_code,phone_number,industry,website
1,Acme Corp,123 Main St,Anytown,CA,91234,555-123-4567,Technology,www.acme.com
2,Beta Industries,456 Oak Ave,Sometown,NY,10001,212-555-7890,Finance,www.betaind.net
3,Gamma Solutions,789 Pine Ln,Othertown,TX,75001,972-555-2345,Consulting,www.gammasol.org
4,Delta Group,101 Elm Rd,New City,FL,33101,305-555-6789,Real Estate,www.deltagroup.com
5,Epsilon Systems,222 Maple Dr,Springfield,IL,62704,217-555-0123,Software,www.epsilonsystems.io
6,Zeta Corp,333 Cherry St,Hill Valley,WA,98101,206-555-3456,Aerospace,www.zetacorp.com
7,Eta Industries,444 Oakwood Ave,Pleasantville,NJ,07001,973-555-7890,Pharmaceuticals,www.etaind.net
8,Theta Solutions,555 Highland Ln,Riverside,GA,30303,404-555-2345,Marketing,www.thetasol.org
9,Iota Group,666 Lowland Rd,Mountain View,CO,80123,303-555-6789,Energy,www.iotagroup.com
10,Kappa Systems,777 Meadow Dr,Austin,MN,55912,507-555-0123,Agriculture,www.kappasystems.io
