review_id,employee_id,reviewer_id,review_date,rating,comments,goals_set,review_status
1,1,2,2023-01-15,4,Employee consistently exceeds expectations.,Improve presentation skills.,Draft
2,2,3,2023-02-20,3,Meets expectations. Needs improvement in project management.,Complete project management training.,Draft
3,3,4,2023-03-25,5,Outstanding performance. A valuable asset to the team.,Mentor junior team members.,Draft
4,4,5,2023-04-30,2,Needs significant improvement in communication.,Attend communication workshops.,Draft
5,5,6,2023-05-05,4,Strong technical skills. Could be more proactive.,Take initiative on new projects.,Draft
6,6,7,2023-06-10,3,Generally meets expectations. Needs to improve time management.,Implement time management techniques.,Draft
7,7,8,2023-07-15,5,Exceptional performance. Demonstrates leadership qualities.,Lead a team project.,Draft
8,8,9,2023-08-20,2,Performance is below expectations. Requires close supervision.,Develop a performance improvement plan.,Draft
9,9,10,2023-09-25,4,Good performance. Shows potential for growth.,Cross-train in a different department.,Draft
10,10,1,2023-10-30,3,Meets expectations. Could improve attention to detail.,Review work for errors before submission.,Draft
