review_id,employee_id,reviewer_id,review_date,rating,comments,goals_set,review_status
1,1,2,2023-01-15,4,Exceeds expectations in project management.,Improve communication skills.,Draft
2,2,3,2023-02-20,3,Meets expectations overall.,Develop leadership skills.,Draft
3,3,4,2023-03-25,5,Outstanding performance in all areas.,Mentor junior team members.,Draft
4,4,5,2023-04-30,2,Needs improvement in time management.,Attend time management training.,Draft
5,5,6,2023-05-05,4,Strong technical skills and problem-solving abilities.,Lead a technical project.,Draft
6,6,7,2023-06-10,3,"Consistent performer, good team player.",Take on more responsibility in team projects.,Draft
7,7,8,2023-07-15,5,Exceptional contribution to the company's success.,Present at an industry conference.,Draft
8,8,9,2023-08-20,2,Needs to improve attention to detail.,Review all work for accuracy before submission.,Draft
9,9,10,2023-09-25,4,Excellent communication with clients.,Expand client portfolio.,Draft
10,10,1,2023-10-30,3,Reliable and dependable employee.,Cross-train in another department.,Draft
