project_id,name,description,start_date,end_date,company_id,project_status,budget
1,Project Phoenix,Revamping the customer service platform.,2023-01-15,2023-12-31,1,Completed,500000.0
2,Operation Nightingale,Developing a new AI-powered diagnostic tool.,2023-03-01,2024-06-30,2,In Progress,750000.0
3,Project Chimera,Integrating blockchain technology into supply chain management.,2022-11-10,2023-05-15,3,Completed,300000.0
4,Project Atlas,Expanding global market reach through digital marketing.,2023-06-20,2024-03-31,4,In Progress,400000.0
5,Project Aurora,Implementing a sustainable energy program.,2022-09-01,2023-02-28,5,Completed,250000.0
6,Project Titan,Building a new data center.,2023-04-15,2024-09-30,6,In Progress,1000000.0
7,Project Gemini,Developing a mobile app for remote collaboration.,2022-12-01,2023-07-31,7,Completed,350000.0
8,Project Olympus,Creating a virtual reality training program.,2023-07-01,2024-01-31,8,In Progress,600000.0
9,Project Voyager,Exploring new markets in Southeast Asia.,2023-02-15,2023-11-30,9,Completed,450000.0
10,Project Nova,Upgrading the company's cybersecurity infrastructure.,2023-05-01,2024-05-31,10,In Progress,800000.0
