company_id,name,address,city,state,zip_code,phone_number,industry,website
1,Acme Corp,123 Main St,City Anytown,CA,91234,555-123-4567,Technology,www.acmecorp.com
2,Beta Industries,456 Oak Ave,City Sometown,NY,10001,212-555-7890,Finance,www.betaindustries.com
3,Gamma Solutions,789 Pine Ln,City Othertown,TX,75001,972-555-2345,Consulting,www.gammasolutions.com
4,Delta Group,101 Elm St,City Springfield,IL,62701,217-555-6789,Manufacturing,www.deltagroup.com
5,Epsilon Enterprises,222 Maple Ave,City Hill Valley,WA,98101,206-555-0123,Retail,www.epsilonenterprises.com
6,Zeta Corporation,333 Oak St,City Riverside,NJ,08075,856-555-3456,Healthcare,www.zetacorp.com
7,Eta Systems,444 Pine Ave,City Lakewood,CO,80228,303-555-7890,Software,www.etasystems.com
8,Theta Innovations,555 Main St,City Sunnyvale,CA,94087,408-555-9012,Biotech,www.thetainnovations.com
9,Iota Solutions,666 Elm Ave,City Miami,FL,33101,305-555-2345,Real Estate,www.iotasolutions.com
10,Kappa Group,777 Oak Ln,City Atlanta,GA,30303,404-555-6789,Marketing,www.kappagroup.com
