company_id,name,address,city,state,zip_code,phone_number,industry,website
1,Acme Corp,123 Main St,City Anytown,CA,91234,555-123-4567,Technology,www.acme.com
2,Beta Industries,456 Oak Ave,City Springfield,IL,62704,217-555-7890,Manufacturing,www.betaind.net
3,Gamma Solutions,789 Pine Ln,City Hill Valley,WA,98052,425-555-2468,Consulting,www.gammasol.org
4,Delta Group,101 Elm St,City New York,NY,10001,212-555-1357,Finance,www.deltagroup.com
5,Epsilon Systems,222 Maple Dr,City Los Angeles,CA,90001,310-555-8000,Software,www.epsilonsystems.io
6,Zeta Corp,333 Cherry Rd,City Chicago,IL,60601,312-555-9000,Real Estate,www.zetacorp.com
7,Eta Industries,444 Oak St,City Houston,TX,77001,713-555-2000,Energy,www.etaindustries.net
8,Theta Solutions,555 Pine Ave,City Phoenix,AZ,85001,602-555-3000,Healthcare,www.thetasolutions.org
9,Iota Group,666 Elm Ln,City Philadelphia,PA,19101,215-555-4000,Education,www.iotagroup.com
10,Kappa Systems,777 Maple Ct,City San Antonio,TX,78201,210-555-5000,Aerospace,www.kappasystems.io
