company_id,name,address,city,state,zip_code,phone_number,industry,website
1,Acme Corp,123 Main St,city Anytown,CA,91234,555-123-4567,Technology,www.acme.com
2,Beta Industries,456 Oak Ave,city Sometown,NY,10001,212-987-6543,Finance,www.beta.net
3,Gamma Solutions,789 Pine Ln,city Othertown,TX,75001,972-555-7890,Consulting,www.gamma.org
4,Delta Group,101 Elm Rd,city Springfield,IL,62704,217-555-4321,Manufacturing,www.delta.co
5,Epsilon Enterprises,222 Maple Dr,city Oakland,CA,94607,510-555-9012,Retail,www.epsilon.biz
6,Zeta Corp,333 Cherry St,city Miami,FL,33101,305-555-3456,Hospitality,www.zeta.com
7,Eta Industries,444 Walnut Ave,city Atlanta,GA,30303,404-555-6789,Transportation,www.eta.net
8,Theta Solutions,555 Oak St,city Denver,CO,80202,303-555-0123,Energy,www.theta.org
9,Iota Group,666 Pine Ave,city Seattle,WA,98101,206-555-4567,Aerospace,www.iota.co
10,Kappa Enterprises,777 Maple Rd,city Phoenix,AZ,85001,602-555-7890,Real Estate,www.kappa.biz
