project_id,name,description,start_date,end_date,company_id,project_status,budget
1,Alpha Project,Initial project for new clients.,2023-01-15,2023-06-30,1,Completed,50000.0
2,Beta Initiative,Strategic initiative to expand market share.,2023-03-01,2024-03-01,2,In Progress,120000.5
3,Gamma Program,Comprehensive program to improve customer satisfaction.,2023-05-20,2023-12-20,3,Completed,75000.0
4,Delta Campaign,Marketing campaign to launch new product.,2023-07-10,2023-11-15,4,Completed,40000.0
5,Epsilon Project,Research and development project for future technologies.,2023-09-01,2024-03-01,5,In Progress,200000.0
6,Zeta Initiative,Cost reduction initiative across all departments.,2023-11-01,2024-05-01,6,Planned,30000.0
7,Eta Program,Training program for new employees.,2024-01-05,2024-03-05,7,Planned,15000.0
8,Theta Campaign,Social media campaign to increase brand awareness.,2024-02-15,2024-06-15,8,Planned,25000.0
9,Iota Project,Infrastructure upgrade project.,2024-03-01,2024-09-01,9,Planned,80000.0
10,Kappa Initiative,Sustainability initiative.,2024-04-01,2024-10-01,10,Planned,60000.0
