project_id,name,description,start_date,end_date,company_id,project_status,budget
1,Project Phoenix,Develop a new AI platform for data analysis.,2023-01-15,2024-06-30,1,In Progress,500000.0
2,Operation Blue Sky,Implement a cloud-based infrastructure for all services.,2022-11-01,2023-05-15,2,Completed,250000.0
3,Project Nightingale,Create a mobile application for healthcare professionals.,2023-03-01,2024-09-30,3,Planning,750000.0
4,Project Titan,Upgrade existing legacy systems to modern architecture.,2022-09-15,2023-03-31,4,Completed,150000.0
5,Project Aurora,Develop a new e-commerce platform with enhanced security.,2023-05-01,2024-12-31,5,In Progress,1000000.0
6,Project Voyager,Research and develop a new renewable energy source.,2023-07-01,2025-06-30,6,Planning,2000000.0
7,Project Gemini,Create a new social media platform for professionals.,2022-12-01,2023-06-30,7,Completed,300000.0
8,Project Apollo,Optimize supply chain management using blockchain technology.,2023-02-15,2024-08-15,8,In Progress,600000.0
9,Project Zeus,Develop a cybersecurity solution to protect against cyber threats.,2023-04-01,2024-10-31,9,Planning,800000.0
10,Project Atlas,Build a data warehouse and business intelligence platform.,2022-10-01,2023-04-30,10,Completed,200000.0
