company_id,name,address,city,state,zip_code,phone_number,industry,website
1,Acme Corp,123 Main St,cityNew York,NY,10001,212-555-1212,Technology,www.acme.com
2,Beta Industries,456 Oak Ave,cityLos Angeles,CA,90001,310-555-2323,Manufacturing,www.betaindustries.com
3,Gamma Solutions,789 Pine Ln,cityChicago,IL,60601,312-555-3434,Consulting,www.gammasolutions.com
4,Delta Systems,101 Elm Rd,cityHouston,TX,77001,713-555-4545,Software,www.deltasystems.com
5,Epsilon Group,222 Maple Dr,cityPhiladelphia,PA,19101,215-555-5656,Finance,www.epsilongroup.com
6,Zeta Enterprises,333 Cherry St,cityPhoenix,AZ,85001,602-555-6767,Real Estate,www.zetaenterprises.com
7,Eta Corporation,444 Oak St,citySan Antonio,TX,78201,210-555-7878,Healthcare,www.etacorp.com
8,Theta Inc,555 Pine Ave,citySan Diego,CA,92101,619-555-8989,Biotechnology,www.thetainc.com
9,Iota Ltd,666 Elm St,cityDallas,TX,75201,214-555-9090,Energy,www.iotaltd.com
10,Kappa Group,777 Maple Ave,citySan Jose,CA,95101,408-555-0101,Semiconductors,www.kappagroup.com
