project_id,name,description,start_date,end_date,company_id,project_status,budget
1,Project Phoenix,Revamping the customer onboarding process.,2023-01-15,2023-06-30,1,Completed,75000.0
2,Operation Nightingale,Developing a new AI-powered healthcare solution.,2023-03-01,2024-03-01,2,In Progress,500000.0
3,Project Titan,Building a next-generation data analytics platform.,2022-11-01,2023-05-15,3,Completed,120000.0
4,Project Chimera,Integrating disparate systems for enhanced efficiency.,2023-04-10,2023-12-31,4,In Progress,90000.0
5,Project Atlas,Creating a global logistics network for product distribution.,2022-09-20,2023-03-31,5,Completed,250000.0
6,Project Gemini,Developing a mobile application for customer engagement.,2023-02-15,2023-08-31,6,Completed,60000.0
7,Project Voyager,Exploring new markets and expanding business reach.,2023-05-01,2024-05-01,7,In Progress,400000.0
8,Project Sentinel,Enhancing cybersecurity infrastructure to protect sensitive data.,2022-12-01,2023-06-15,8,Completed,150000.0
9,Project Aurora,Creating a new brand identity and marketing campaign.,2023-06-01,2024-01-31,9,In Progress,100000.0
10,Project Olympus,Migrating legacy systems to a cloud-based environment.,2023-01-01,2023-09-30,10,Completed,300000.0
