project_id,name,description,start_date,end_date,company_id,project_status,budget
1,Project Phoenix,Revamping the company's core technology infrastructure.,2023-01-15,2024-03-30,1,In Progress,500000.0
2,Operation Nightingale,Developing a new customer relationship management system.,2022-11-01,2023-06-30,2,Completed,350000.0
3,Project Titan,Expanding the company's market reach into Asia.,2023-05-20,2024-12-31,3,Planning,750000.0
4,Project Aurora,Creating a mobile application for customer self-service.,2022-09-10,2023-03-15,4,Completed,200000.0
5,Project Hercules,Implementing a new enterprise resource planning system.,2023-03-01,2024-09-30,5,In Progress,600000.0
6,Project Gemini,Developing a data warehouse for business intelligence.,2022-12-01,2023-07-31,6,Completed,400000.0
7,Project Apollo,Enhancing the company's cybersecurity infrastructure.,2023-07-01,2024-06-30,7,In Progress,450000.0
8,Project Athena,Creating a new e-commerce platform.,2022-10-15,2023-05-15,8,Completed,250000.0
9,Project Zeus,Modernizing the company's legacy systems.,2023-04-01,2024-10-31,9,In Progress,550000.0
10,Project Poseidon,Developing a cloud-based storage solution.,2023-02-15,2023-11-30,10,Completed,300000.0
