review_id,employee_id,reviewer_id,review_date,rating,comments,goals_set,review_status
1,1,2,2023-01-15,4,Employee consistently exceeds expectations.,Improve public speaking skills.,Draft
2,2,3,2023-02-20,3,Meets expectations. Needs improvement in teamwork.,Participate in team-building activities.,Draft
3,3,4,2023-03-25,5,Outstanding performance. A valuable asset to the team.,Mentor junior employees.,Draft
4,4,5,2023-04-30,2,Needs significant improvement in productivity.,Complete time management training.,Draft
5,5,6,2023-05-05,4,Good performance. Shows initiative and creativity.,Lead a project from start to finish.,Draft
6,6,7,2023-06-10,3,Meets expectations. Needs to improve communication skills.,Attend a communication workshop.,Draft
7,7,8,2023-07-15,5,Exceptional performance. Demonstrates leadership qualities.,Take on a leadership role in a new initiative.,Draft
8,8,9,2023-08-20,2,Performance is below expectations. Needs improvement in all areas.,Develop a performance improvement plan.,Draft
9,9,10,2023-09-25,4,Strong performance. Shows commitment and dedication.,Present findings at a conference.,Draft
10,10,1,2023-10-30,3,Meets expectations. Needs to improve technical skills.,Complete a technical certification.,Draft
