review_id,employee_id,reviewer_id,review_date,rating,comments,goals_set,review_status
1,1,2,2023-01-15,4,Exceeded expectations in Q4.,Improve communication skills.,Completed
2,2,3,2023-02-20,3,Met expectations.,Increase project ownership.,Completed
3,3,4,2023-03-25,5,Outstanding performance!,Mentor junior team members.,Completed
4,4,5,2023-04-30,2,Needs improvement in time management.,Attend time management workshop.,Completed
5,5,6,2023-05-05,4,Strong technical skills.,Lead a technical training session.,Completed
6,6,7,2023-06-10,3,Consistent performance.,Explore new technologies.,Completed
7,7,8,2023-07-15,5,Exceptional leadership qualities.,Take on a leadership role in a new project.,Completed
8,8,9,2023-08-20,1,Significant improvement needed.,Develop a performance improvement plan.,Completed
9,9,10,2023-09-25,4,Good team player.,Participate in team-building activities.,Completed
10,10,1,2023-10-30,3,Reliable and dependable.,Cross-train in another department.,Completed
