project_id,name,description,start_date,end_date,company_id,project_status,budget
1,Project Phoenix,Revamping the core infrastructure.,2023-01-15,2023-12-31,1,Completed,500000.0
2,Data Migration,Migrating data to a new cloud platform.,2023-03-01,2024-02-29,2,In Progress,750000.0
3,Mobile App Development,Developing a new mobile application.,2023-05-10,2024-06-30,3,Planning,250000.0
4,Website Redesign,Redesigning the company website.,2023-07-01,2023-11-30,4,Completed,100000.0
5,Security Audit,Conducting a comprehensive security audit.,2023-09-15,2023-10-31,5,Completed,50000.0
6,New Product Launch,Launching a new product line.,2024-01-01,2024-03-31,6,Planning,1000000.0
7,Customer Relationship Management,Implementing a new CRM system.,2023-04-01,2023-12-31,7,In Progress,300000.0
8,Supply Chain Optimization,Optimizing the supply chain processes.,2023-06-15,2024-01-31,8,In Progress,200000.0
9,Employee Training Program,Developing a new employee training program.,2023-08-01,2023-12-31,9,Completed,75000.0
10,Market Research,Conducting market research for new opportunities.,2023-10-01,2024-02-29,10,Planning,150000.0
