company_id,name,address,city,state,zip_code,phone_number,industry,website
1,Acme Corp,123 Main St,City Anytown,CA,91234,555-123-4567,Technology,www.acme.com
2,Beta Industries,456 Oak Ave,City Springfield,IL,62704,555-222-3333,Manufacturing,www.betaind.net
3,Gamma Solutions,789 Pine Ln,City Hill Valley,WA,98052,555-444-5555,Consulting,www.gammasol.org
4,Delta Systems,101 Elm Rd,City New York,NY,10001,555-666-7777,Software,www.deltasys.com
5,Epsilon Group,222 Maple Dr,City Los Angeles,CA,90001,555-888-9999,Finance,www.epsilongroup.net
6,Zeta Corp,333 Cherry St,City Chicago,IL,60601,555-111-2222,Retail,www.zetacorp.com
7,Eta Industries,444 Oak St,City Houston,TX,77001,555-333-4444,Energy,www.etaind.net
8,Theta Solutions,555 Pine St,City Phoenix,AZ,85001,555-555-6666,Healthcare,www.thetasol.org
9,Iota Systems,666 Elm St,City Philadelphia,PA,19102,555-777-8888,Education,www.iotasys.com
10,Kappa Group,777 Maple St,City San Francisco,CA,94102,555-999-0000,Real Estate,www.kappagroup.net
