project_id,name,description,start_date,end_date,company_id,project_status,budget
1,Project Phoenix,Develop a new cloud-based platform for data analytics.,2023-01-15,2024-06-30,1,In Progress,500000.0
2,Operation GreenThumb,Implement sustainable practices across the supply chain.,2022-11-01,2023-05-15,2,Completed,250000.0
3,Project Nightingale,Enhance patient care through AI-powered diagnostic tools.,2023-03-01,2024-09-30,3,Planning,750000.0
4,Project Chimera,Create a unified marketing platform for personalized customer experiences.,2022-09-15,2023-03-31,4,Completed,300000.0
5,Project Atlas,Expand global market reach through strategic partnerships.,2023-02-01,2024-12-31,5,In Progress,600000.0
6,Project Voyager,Develop next-generation autonomous vehicles.,2023-04-15,2025-01-31,6,Planning,1000000.0
7,Project Harmony,Improve employee engagement through collaborative tools.,2022-12-01,2023-06-30,7,Completed,200000.0
8,Project Innovation,Develop innovative solutions for the education sector.,2023-05-01,2024-11-30,8,In Progress,450000.0
9,Project Guardian,Enhance cybersecurity infrastructure to protect sensitive data.,2022-10-15,2023-04-30,9,Completed,350000.0
10,Project Zenith,Launch a new line of eco-friendly consumer products.,2023-06-01,2025-03-31,10,Planning,800000.0
