project_id,name,description,start_date,end_date,company_id,project_status,budget
1,Project Phoenix,Revamping the core infrastructure.,2023-01-15,2023-12-31,1,Completed,500000.0
2,Operation Blue Sky,Developing a new cloud platform.,2023-03-01,2024-06-30,2,In Progress,750000.5
3,Project Nightingale,Improving patient care through AI.,2022-11-10,2023-05-15,3,Completed,300000.0
4,Project Chimera,Integrating legacy systems with modern APIs.,2023-05-20,2024-01-31,4,In Progress,400000.0
5,Project Atlas,Building a global logistics network.,2022-09-01,2023-03-31,5,Completed,600000.0
6,Project Gemini,Creating a dual-core processor.,2023-07-01,2024-09-30,6,Planning,900000.0
7,Project Voyager,Exploring new markets in Asia.,2023-02-15,2023-11-30,7,Completed,250000.0
8,Project Olympus,Developing a scalable data warehouse.,2023-04-01,2024-03-31,8,In Progress,800000.0
9,Project Aurora,Enhancing the user interface of the mobile app.,2022-12-01,2023-06-30,9,Completed,350000.0
10,Project Titan,Building a new AI-powered security system.,2023-06-01,2024-05-31,10,In Progress,700000.0
