company_id,name,address,city,state,zip_code,phone_number,industry,website
1,Acme Corp,123 Main St,City Anytown,CA,91234,555-123-4567,Technology,www.acme.com
2,Beta Industries,456 Oak Ave,City Springfield,IL,62704,555-222-3333,Manufacturing,www.betaind.net
3,Gamma Solutions,789 Pine Ln,City Hill Valley,WA,98052,555-444-5555,Consulting,www.gammasol.org
4,Delta Systems,101 Elm St,City New York,NY,10001,555-666-7777,Software,www.deltasystems.com
5,Epsilon Enterprises,222 Maple Dr,City Los Angeles,CA,90001,555-777-8888,Retail,www.epsilonenterprises.net
6,Zeta Group,333 Cherry Rd,City Chicago,IL,60601,555-888-9999,Finance,www.zetagroup.org
7,Eta Inc.,444 Oak St,City Houston,TX,77002,555-999-0000,Energy,www.etainc.com
8,Theta Corporation,555 Pine Ave,City Phoenix,AZ,85001,555-000-1111,Real Estate,www.thetacorp.net
9,Iota Ltd,666 Elm Ln,City Philadelphia,PA,19102,555-111-2222,Healthcare,www.iotaltd.org
10,Kappa Associates,777 Maple Ct,City San Antonio,TX,78205,555-333-4444,Education,www.kappaassoc.com
