project_id,name,description,start_date,end_date,company_id,project_status,budget
1,Project Phoenix,Development of a new AI-powered marketing platform.,2023-01-15,2024-06-30,1,In Progress,500000.0
2,Operation Blue Sky,Expansion of the company's renewable energy portfolio.,2022-11-01,2023-12-31,2,Completed,750000.0
3,Project Nightingale,Development of a new healthcare application.,2023-05-01,2024-03-31,3,Planning,600000.0
4,Project Gold Rush,Exploration and development of new mining opportunities.,2022-09-15,2023-11-15,4,Completed,900000.0
5,Project Deep Dive,Market research and analysis for new product development.,2023-03-01,2023-09-30,5,Completed,250000.0
6,Project Ironclad,Strengthening the company's cybersecurity infrastructure.,2023-07-01,2024-01-31,6,In Progress,400000.0
7,Project Green Thumb,Development of sustainable agriculture practices.,2022-12-01,2023-06-30,7,Completed,300000.0
8,Project Star Gazer,Research and development of new space exploration technologies.,2023-09-01,2024-12-31,8,Planning,1000000.0
9,Project Silver Lining,Development of a new mental health support platform.,2023-04-15,2024-05-15,9,In Progress,450000.0
10,Project Northern Lights,Expansion of the company's operations in the Nordic region.,2022-10-01,2023-08-31,10,Completed,800000.0
