project_id,name,description,start_date,end_date,company_id,project_status,budget
1,Project Phoenix,Develop a new AI-powered marketing platform.,2023-01-15,2023-12-31,1,In Progress,500000.0
2,Operation Green Earth,Implement sustainable practices across the organization.,2022-11-01,2023-05-15,2,Completed,150000.0
3,Project Blue Sky,Research and development of innovative technologies.,2023-03-01,2024-06-30,3,Planning,750000.0
4,Project Nightingale,Enhance customer support and satisfaction.,2022-09-10,2023-03-31,4,Completed,200000.0
5,Project Atlas,Expand business operations into new markets.,2023-05-20,2024-09-30,5,In Progress,1000000.0
6,Project Chimera,Merge two existing product lines into one.,2022-07-01,2023-02-28,6,Completed,300000.0
7,Project Aurora,Develop a new mobile application.,2023-02-15,2023-11-30,7,In Progress,400000.0
8,Project Zenith,Upgrade the company's IT infrastructure.,2023-04-01,2024-03-31,8,Planning,600000.0
9,Project Voyager,Explore new partnership opportunities.,2022-12-01,2023-06-30,9,Completed,100000.0
10,Project Nightingale 2.0,Improve Customer Service using AI.,2023-07-01,2024-01-31,10,In Progress,250000.0
