employee_project_id,employee_id,project_id,role,hours_worked,start_date,end_date
1,1,2,Developer,160.5,2023-01-15,2023-06-30
2,2,1,Project Manager,80.0,2023-02-01,2023-05-31
3,3,3,Tester,120.75,2023-03-10,2023-07-15
4,4,4,Analyst,200.0,2023-04-01,2023-08-31
5,5,5,Designer,140.25,2023-05-15,2023-09-30
6,6,6,Developer,180.0,2023-06-01,2023-10-31
7,7,7,Project Manager,90.5,2023-07-10,2023-11-15
8,8,8,Tester,130.75,2023-08-01,2023-12-31
9,9,9,Analyst,210.0,2023-09-15,2024-01-31
10,10,10,Designer,150.25,2023-10-01,2024-02-29
