review_id,employee_id,reviewer_id,review_date,rating,comments,goals_set,review_status
1,1,2,2023-01-15,4,Exceeded expectations in Q4.,Improve communication skills.,Draft
2,2,3,2023-02-20,3,Meeting expectations.,Increase sales by 10%.,Draft
3,3,4,2023-03-25,5,Outstanding performance.,Mentor junior team members.,Draft
4,4,5,2023-04-30,2,Needs improvement in time management.,Attend time management workshop.,Draft
5,5,6,2023-05-05,4,Consistent high performer.,Lead a cross-functional project.,Draft
6,6,7,2023-06-10,3,Satisfactory performance.,Improve presentation skills.,Draft
7,7,8,2023-07-15,1,Performance below expectations.,Develop a performance improvement plan.,Draft
8,8,9,2023-08-20,5,Exceptional contributions to the team.,Present at an industry conference.,Draft
9,9,10,2023-09-25,4,Valuable team member.,Learn a new programming language.,Draft
10,10,1,2023-10-30,3,Consistently meets deadlines.,Take on more responsibilities.,Draft
