employee_project_id,employee_id,project_id,role,hours_worked,start_date,end_date
1,1,3,Developer,120.5,2023-01-15,2023-05-20
2,2,1,Project Manager,80.0,2023-02-01,2023-06-30
3,3,2,Designer,100.75,2023-03-10,2023-07-15
4,4,4,Tester,60.25,2023-04-05,2023-08-10
5,5,5,Analyst,90.5,2023-05-01,2023-09-05
6,6,6,Developer,110.0,2023-06-15,2023-10-20
7,7,7,Project Manager,75.5,2023-07-01,2023-11-30
8,8,8,Designer,95.25,2023-08-10,2023-12-15
9,9,9,Tester,65.0,2023-09-05,2024-01-10
10,10,10,Analyst,85.75,2023-10-01,2024-02-05
