company_id,name,address,city,state,zip_code,phone_number,industry,website
1,Acme Corp,123 Main St,Anytown,CA,91234,555-123-4567,Technology,www.acme.com
2,Beta Industries,456 Oak Ave,Springfield,IL,62704,217-555-7890,Manufacturing,www.betaind.net
3,Gamma Solutions,789 Pine Ln,Hill Valley,GA,30303,404-555-2345,Consulting,www.gammasol.org
4,Delta Systems,101 Elm St,New York,NY,10001,212-555-6789,Software,www.deltasys.com
5,Epsilon Group,222 Maple Dr,Los Angeles,CA,90001,310-555-3456,Finance,www.epsilongroup.com
6,Zeta Corp,333 Cherry Ln,Chicago,IL,60601,312-555-8901,Real Estate,www.zetacorp.net
7,Eta Industries,444 Oak St,Houston,TX,77001,713-555-4567,Energy,www.etaindustries.com
8,Theta Solutions,555 Pine Ave,Philadelphia,PA,19102,215-555-9012,Healthcare,www.thetasolutions.org
9,Iota Systems,666 Elm Rd,Phoenix,AZ,85001,602-555-2345,Aerospace,www.iotasystems.com
10,Kappa Group,777 Maple Ct,San Diego,CA,92101,619-555-5678,Biotechnology,www.kappagroup.com
