company_id,name,address,city,state,zip_code,phone_number,industry,website
1,Acme Corp,123 Main St,City Anytown,CA,90210,555-123-4567,Technology,www.acme.com
2,Beta Industries,456 Oak Ave,City Sometown,NY,10001,212-555-7890,Finance,www.betaind.net
3,Gamma Solutions,789 Pine Ln,City Othertown,TX,75001,972-555-2345,Healthcare,www.gammasolutions.org
4,Delta Enterprises,101 Elm Rd,City Nowhere,FL,33101,305-555-6789,Retail,www.deltaenterprises.com
5,Epsilon Group,222 Maple Dr,City Springfield,IL,62704,217-555-0123,Manufacturing,www.epsilongroup.net
6,Zeta Corp,333 Cherry St,City Riverdale,GA,30303,404-555-3456,Energy,www.zetacorp.com
7,Omega Industries,444 Walnut Ave,City Hill Valley,WA,98101,206-555-6789,Software,www.omegaind.net
8,Theta Solutions,555 Oak Ln,City Sunnyvale,CA,94087,408-555-0123,Biotech,www.thetasolutions.org
9,Sigma Enterprises,666 Pine Rd,City Austin,TX,78701,512-555-3456,Aerospace,www.sigmaenterprises.com
10,Lambda Group,777 Elm Dr,City Chicago,IL,60601,312-555-6789,Consulting,www.lambdagroup.net
