employee_project_id,employee_id,project_id,role,hours_worked,start_date,end_date
1,1,3,Developer,120.5,2023-01-15,2023-03-15
2,2,1,Project Manager,80.0,2023-02-01,2023-04-30
3,3,2,Analyst,100.75,2023-03-01,2023-05-31
4,4,4,Tester,90.25,2023-04-15,2023-06-30
5,5,5,Designer,110.0,2023-05-01,2023-07-31
6,6,6,Developer,130.5,2023-06-15,2023-08-15
7,7,7,Project Manager,70.0,2023-07-01,2023-09-30
8,8,8,Analyst,95.75,2023-08-01,2023-10-31
9,9,9,Tester,85.25,2023-09-15,2023-11-30
10,10,10,Designer,105.0,2023-10-01,2023-12-31
