review_id,employee_id,reviewer_id,review_date,rating,comments,goals_set,review_status
1,1,2,2023-01-15,4,Employee consistently exceeds expectations.,Increase sales by 15% in the next quarter.,Draft
2,2,3,2023-02-20,3,Meets expectations. Needs improvement in time management.,Attend time management workshop.,Draft
3,3,4,2023-03-10,5,Outstanding performance. A valuable asset to the team.,Mentor junior team members.,Draft
4,4,5,2023-04-05,2,Needs significant improvement. Performance is below expectations.,Develop a performance improvement plan.,Draft
5,5,6,2023-05-12,4,Good performance. Shows potential for growth.,Take on more challenging projects.,Draft
6,6,7,2023-06-18,3,Meets expectations. Consistent and reliable.,Improve communication skills.,Draft
7,7,8,2023-07-22,5,Exceptional performance. Demonstrates leadership qualities.,Lead a team project.,Draft
8,8,9,2023-08-01,2,Performance is unsatisfactory. Requires immediate attention.,Attend training on essential job functions.,Draft
9,9,10,2023-09-25,4,Above average performance. Shows initiative and dedication.,Develop expertise in a new area.,Draft
10,10,1,2023-10-30,3,Meets expectations. Needs to improve attention to detail.,Implement a quality control process.,Draft
