company_id,name,address,city,state,zip_code,phone_number,industry,website
1,Acme Corp,123 Main St,Anytown,CA,91234,555-123-4567,Technology,www.acmecorp.com
2,Beta Industries,456 Oak Ave,Springfield,IL,62704,555-222-3333,Manufacturing,www.betaindustries.com
3,Gamma Solutions,789 Pine Ln,Denver,CO,80202,555-444-5555,Consulting,www.gammasolutions.com
4,Delta Systems,101 Elm Rd,Austin,TX,73301,555-666-7777,Software,www.deltasystems.com
5,Epsilon Group,222 Maple Dr,New York,NY,10001,555-888-9999,Finance,www.epsilongroup.com
6,Zeta Enterprises,333 Birch Ct,Los Angeles,CA,90001,555-111-2222,Entertainment,www.zetaenterprises.com
7,Eta Corporation,444 Cedar Ave,Chicago,IL,60601,555-333-4444,Real Estate,www.etacorporation.com
8,Theta Holdings,555 Willow Ln,Houston,TX,77002,555-555-6666,Energy,www.thetaholdings.com
9,Iota Investments,666 Oak St,Philadelphia,PA,19102,555-777-8888,Investment,www.iotainvestments.com
10,Kappa Resources,777 Pine Ave,Phoenix,AZ,85001,555-999-0000,Mining,www.kapparesources.com
