project_id,name,description,start_date,end_date,company_id,project_status,budget
1,Project Phoenix,Revamping the customer experience.,2023-01-15,2023-12-31,1,In Progress,500000.0
2,Operation Nightingale,Developing a new AI-powered healthcare solution.,2023-03-01,2024-06-30,2,Planning,750000.0
3,Project Titan,Building a next-generation social media platform.,2022-11-01,2023-09-30,3,Completed,1000000.0
4,Project Aurora,Creating a sustainable energy solution for rural communities.,2023-05-15,2024-03-15,4,In Progress,600000.0
5,Project Gemini,Developing a space exploration program.,2024-01-01,2025-12-31,5,Planning,2000000.0
6,Project Olympus,Building a new data center.,2022-09-01,2023-06-30,6,Completed,800000.0
7,Project Apollo,Creating a new mobile application.,2023-02-15,2023-11-30,7,In Progress,450000.0
8,Project Voyager,Developing a new virtual reality game.,2023-04-01,2024-09-30,8,Planning,900000.0
9,Project Galaxy,Building a new e-commerce platform.,2022-12-01,2023-08-31,9,Completed,1200000.0
10,Project Comet,Creating a new educational program.,2023-06-01,2024-05-31,10,In Progress,550000.0
