employee_project_id,employee_id,project_id,role,hours_worked,start_date,end_date
1,1,3,Developer,120.5,2023-01-15,2023-06-30
2,2,1,Project Manager,80.0,2023-02-01,2023-07-31
3,3,2,Designer,95.75,2023-03-10,2023-08-15
4,4,4,Tester,60.25,2023-04-01,2023-09-30
5,5,5,Analyst,110.0,2023-05-15,2023-10-31
6,6,6,Developer,130.0,2023-06-01,2023-11-30
7,7,7,Project Manager,75.5,2023-07-10,2023-12-15
8,8,8,Designer,90.0,2023-08-01,2024-01-31
9,9,9,Tester,65.75,2023-09-15,2024-02-29
10,10,10,Analyst,105.25,2023-10-01,2024-03-31
