review_id,employee_id,reviewer_id,review_date,rating,comments,goals_set,review_status
1,1,2,2023-01-15,4,Employee consistently exceeds expectations.,Focus on mentoring junior team members.,Draft
2,2,3,2023-02-20,3,Meets expectations. Needs improvement in communication.,Improve communication skills through workshops.,Draft
3,3,4,2023-03-25,5,Exceptional performance. A valuable asset to the team.,Lead a key project in the next quarter.,Draft
4,4,5,2023-04-30,2,Needs significant improvement in several areas.,Complete required training modules.,Draft
5,5,6,2023-05-05,4,Good performance. Shows potential for growth.,Explore new technologies and propose solutions.,Draft
6,6,7,2023-06-10,3,Meets expectations. Consistent performance.,Maintain current performance level.,Draft
7,7,8,2023-07-15,5,Outstanding performance. Exceeds all expectations.,Present findings at an industry conference.,Draft
8,8,9,2023-08-20,2,Performance below expectations. Requires immediate attention.,Develop a performance improvement plan.,Draft
9,9,10,2023-09-25,4,Above average performance. Shows initiative.,Take on more challenging tasks.,Draft
10,10,1,2023-10-30,3,Meets expectations. Room for improvement in teamwork.,Participate in team-building activities.,Draft
