project_id,name,description,start_date,end_date,company_id,project_status,budget
1,Project Phoenix,Developing a new AI-powered marketing platform.,2023-01-15,2024-06-30,1,In Progress,500000.0
2,Operation Blue Sky,Research and development of sustainable energy solutions.,2022-11-01,2023-12-31,2,Completed,750000.5
3,Project Nightingale,Creating a telemedicine platform for remote healthcare access.,2023-05-20,2024-03-15,3,In Progress,300000.75
4,Project Titan,Developing a new generation of electric vehicles.,2022-09-01,2024-01-31,4,In Progress,1200000.0
5,Project Aurora,Building a smart city infrastructure with IoT devices.,2023-03-10,2024-09-30,5,Planning,800000.25
6,Project Voyager,Exploration of new space technologies and propulsion systems.,2022-07-15,2023-08-31,6,Completed,950000.0
7,Project Genesis,Developing a new operating system for mobile devices.,2023-02-01,2024-07-31,7,In Progress,600000.5
8,Project Olympus,Creating a social media platform for professional networking.,2022-12-01,2023-11-30,8,Completed,450000.75
9,Project Hercules,Building a high-performance computing cluster for scientific research.,2023-04-01,2024-10-31,9,Planning,1100000.0
10,Project Atlantis,Developing a virtual reality training program for healthcare professionals.,2022-08-01,2023-09-30,10,Completed,700000.25
