employee_project_id,employee_id,project_id,role,hours_worked,start_date,end_date
1,1,3,Developer,160.0,2023-01-01,2023-06-30
2,2,1,Project Manager,80.0,2023-02-15,2023-05-15
3,3,2,Analyst,120.5,2023-03-01,2023-07-31
4,4,4,Tester,90.75,2023-04-01,2023-08-31
5,5,5,Designer,100.0,2023-05-01,2023-09-30
6,6,6,Architect,140.25,2023-06-01,2023-10-31
7,7,7,Developer,110.5,2023-07-01,2023-11-30
8,8,8,Analyst,130.75,2023-08-01,2023-12-31
9,9,9,Tester,95.0,2023-09-01,2024-01-31
10,10,10,Designer,105.25,2023-10-01,2024-02-29
