review_id,employee_id,reviewer_id,review_date,rating,comments,goals_set,review_status
1,1,2,2023-01-15,4,Employee consistently exceeds expectations.,Improve public speaking skills.,Draft
2,2,3,2023-02-20,3,Meets expectations. Needs improvement in teamwork.,Participate in team-building activities.,Draft
3,3,4,2023-03-25,5,Exceptional performance. A valuable asset to the team.,Mentor junior team members.,Draft
4,4,5,2023-04-30,2,Needs significant improvement. Requires close supervision.,Attend training sessions on time management.,Draft
5,5,6,2023-05-05,4,Good performance overall. Shows initiative.,Lead a small project independently.,Draft
6,6,7,2023-06-10,3,Meets expectations. Could improve communication skills.,Practice active listening during meetings.,Draft
7,7,8,2023-07-15,5,Outstanding performance. Demonstrates leadership qualities.,Present findings at a company-wide conference.,Draft
8,8,9,2023-08-20,2,Performance is below expectations. Needs immediate improvement.,Complete all assigned tasks within deadlines.,Draft
9,9,10,2023-09-25,4,Very good performance. Shows potential for growth.,Take on more challenging assignments.,Draft
10,10,1,2023-10-30,3,Meets expectations. Needs to be more proactive.,Identify and address potential problems before they escalate.,Draft
