project_id,name,description,start_date,end_date,company_id,project_status,budget
1,Project Phoenix,Develop a new AI-powered marketing platform.,2023-01-15,2024-06-30,1,In Progress,500000.0
2,Operation Blue Sky,Implement a company-wide CRM system.,2022-11-01,2023-05-15,2,Completed,250000.0
3,Project Nightingale,Design and launch a new mobile application.,2023-03-01,2023-12-31,3,In Progress,300000.0
4,Project Titan,Upgrade the existing network infrastructure.,2022-09-01,2023-03-31,4,Completed,150000.0
5,Project Aurora,Develop a data warehouse and business intelligence platform.,2023-05-15,2024-01-31,5,In Progress,600000.0
6,Project Gemini,Create a new e-commerce website.,2022-07-01,2023-01-15,6,Completed,200000.0
7,Project Apollo,Implement a new cybersecurity framework.,2023-02-01,2023-08-31,7,In Progress,400000.0
8,Project Olympus,Develop a cloud-based storage solution.,2022-12-01,2023-06-30,8,Completed,350000.0
9,Project Zenith,Create a new social media marketing campaign.,2023-04-01,2023-10-31,9,In Progress,100000.0
10,Project Nebula,Modernize legacy software applications.,2022-08-01,2023-02-28,10,Completed,450000.0
