company_id,name,address,city,state,zip_code,phone_number,industry,website
1,Acme Corp,123 Main St,Anytown,CA,91234,555-123-4567,Technology,www.acme.com
2,Beta Industries,456 Oak Ave,Springfield,IL,62704,555-222-3333,Manufacturing,www.betaind.net
3,Gamma Solutions,789 Pine Ln,Hill Valley,GA,30303,555-444-5555,Consulting,www.gammasolutions.org
4,Delta Systems,101 Elm St,New York,NY,10001,555-666-7777,Software,www.deltasystems.com
5,Epsilon Group,222 Maple Dr,Los Angeles,CA,90001,555-888-9999,Finance,www.epsilongroup.io
6,Zeta Enterprises,333 Cherry Rd,Chicago,IL,60601,555-111-2222,Real Estate,www.zetaenterprises.biz
7,Eta Corporation,444 Oak St,Houston,TX,77002,555-333-4444,Energy,www.etacorp.net
8,Theta Innovations,555 Pine Ave,Phoenix,AZ,85001,555-555-6666,Research,www.thetainnovations.org
9,Iota Solutions,666 Elm Ln,Philadelphia,PA,19102,555-777-8888,Healthcare,www.iotasolutions.com
10,Kappa Systems,777 Maple Rd,San Antonio,TX,78205,555-999-0000,Aerospace,www.kappasystems.io
