company_id,name,address,city,state,zip_code,phone_number,industry,website
1,Acme Corp,123 Main St,Anytown,CA,91234,555-123-4567,Technology,www.acmecorp.com
2,Beta Industries,456 Oak Ave,Springfield,IL,62704,217-555-7890,Manufacturing,www.betaindustries.com
3,Gamma Solutions,789 Pine Ln,Denver,CO,80202,303-555-2345,Consulting,www.gammasolutions.com
4,Delta Enterprises,101 Elm St,New York,NY,10001,212-555-6789,Finance,www.deltaenterprises.com
5,Epsilon Group,222 Maple Dr,Los Angeles,CA,90001,310-555-0123,Entertainment,www.epsilongroup.com
6,Zeta Corporation,333 Oak St,Chicago,IL,60601,312-555-3456,Real Estate,www.zetacorp.com
7,Eta Systems,444 Pine Ave,Houston,TX,77002,713-555-5678,Energy,www.etasystems.com
8,Theta Innovations,555 Elm Ln,Phoenix,AZ,85001,602-555-7890,Healthcare,www.thetainnovations.com
9,Iota Technologies,666 Main St,Philadelphia,PA,19102,215-555-9012,Education,www.iotatech.com
10,Kappa Enterprises,777 Oak Ave,San Antonio,TX,78205,210-555-2345,Retail,www.kappaenterprises.com
