review_id,employee_id,reviewer_id,review_date,rating,comments,goals_set,review_status
1,1,2,2023-01-15,4,Excellent performance this quarter.,Continue improving communication skills.,Draft
2,2,3,2023-02-20,3,"Good performance, needs improvement in project management.",Complete project management training.,Draft
3,3,4,2023-03-25,5,"Outstanding performance, exceeding expectations.",Mentor junior team members.,Draft
4,4,5,2023-04-30,2,Needs significant improvement in teamwork.,Participate in team-building activities.,Draft
5,5,6,2023-05-05,4,"Strong technical skills, needs to improve communication.",Attend communication workshop.,Draft
6,6,7,2023-06-10,3,"Meets expectations, needs to take more initiative.",Take on a leadership role in a project.,Draft
7,7,8,2023-07-15,5,Exceptional leadership and technical skills.,Lead a cross-functional project.,Draft
8,8,9,2023-08-20,2,Requires improvement in time management.,Attend a time management seminar.,Draft
9,9,10,2023-09-25,4,Consistently delivers high-quality work.,Explore new technologies to improve efficiency.,Draft
10,10,1,2023-10-30,3,"Good team player, needs to be more proactive.",Propose new solutions to existing problems.,Draft
