review_id,employee_id,reviewer_id,review_date,rating,comments,goals_set,review_status
1,1,2,2023-01-15,4,Employee consistently exceeds expectations.,Improve public speaking skills.,Draft
2,2,3,2023-02-20,3,Meets expectations. Needs improvement in time management.,Complete project management certification.,Draft
3,3,4,2023-03-25,5,Exceptional performance. A valuable asset to the team.,Mentor junior team members.,Draft
4,4,5,2023-04-30,2,Needs significant improvement. Performance is below expectations.,Attend training on communication skills.,Draft
5,5,6,2023-05-05,4,Good performance. Shows potential for growth.,Lead a small project team.,Draft
6,6,7,2023-06-10,3,Meets expectations. Maintain current performance level.,Contribute to knowledge sharing sessions.,Draft
7,7,8,2023-07-15,5,Outstanding performance. Exceeds all expectations.,Present at an industry conference.,Draft
8,8,9,2023-08-20,2,Performance requires immediate attention. Below average.,Seek guidance from senior team members.,Draft
9,9,10,2023-09-25,4,Above average performance. Displays strong work ethic.,Take on more challenging tasks.,Draft
10,10,1,2023-10-30,3,Meets expectations. Good team player.,Participate in team-building activities.,Draft
