company_id,name,address,city,state,zip_code,phone_number,industry,website
1,Acme Corp,123 Main St,Anytown,CA,91234,555-123-4567,Technology,www.acmecorp.com
2,Beta Industries,456 Oak Ave,Springfield,IL,62704,217-555-7890,Manufacturing,www.betaindustries.com
3,Gamma Solutions,789 Pine Ln,Hill Valley,CA,90210,310-555-2468,Consulting,www.gammasolutions.com
4,Delta Systems,101 Elm St,New York,NY,10001,212-555-1357,Software,www.deltasystems.com
5,Epsilon Enterprises,222 Maple Dr,Chicago,IL,60601,312-555-9876,Finance,www.epsilonenterprises.com
6,Zeta Group,333 Oak St,Houston,TX,77002,713-555-4321,Energy,www.zetagroup.com
7,Eta Corp,444 Pine Ave,Los Angeles,CA,90001,213-555-8765,Entertainment,www.etacorp.com
8,Theta Industries,555 Main St,Miami,FL,33101,305-555-6543,Real Estate,www.thetaindustries.com
9,Iota Solutions,666 Elm St,Seattle,WA,98101,206-555-2109,Aerospace,www.iotasolutions.com
10,Kappa Systems,777 Oak Ave,Boston,MA,02101,617-555-3210,Biotechnology,www.kappasystems.com
