project_id,name,description,start_date,end_date,company_id,project_status,budget
1,Project Phoenix,Development of a new AI-powered marketing platform.,2023-01-15,2024-06-30,1,In Progress,500000.0
2,Operation Clean Sweep,Overhaul of existing customer support system.,2022-11-01,2023-04-15,2,Completed,150000.0
3,Project Nightingale,Creation of a telehealth mobile application.,2023-03-01,2024-01-31,3,In Progress,750000.0
4,Project Blue Sky,Research and development of new sustainable energy solutions.,2022-09-01,2023-12-31,4,Completed,1000000.0
5,Project Ironclad,Enhancement of cybersecurity infrastructure.,2023-05-15,2023-11-30,5,In Progress,300000.0
6,Project Green Thumb,Development of an urban farming initiative.,2022-07-01,2023-03-31,6,Completed,200000.0
7,Project StarLight,Creation of a new space exploration program.,2023-02-01,2025-12-31,7,Planning,2000000.0
8,Project Deep Dive,Market research into emerging technologies.,2023-04-01,2023-08-31,8,In Progress,100000.0
9,Project Safe Haven,Development of disaster relief infrastructure.,2022-06-01,2023-01-31,9,Completed,250000.0
10,Project NextGen,Development of a new mobile device.,2023-06-01,2024-12-31,10,In Progress,800000.0
