project_id,name,description,start_date,end_date,company_id,project_status,budget
1,Project Phoenix,Developing a new AI-powered marketing platform.,2023-01-15,2024-06-30,1,In Progress,500000.0
2,Operation Blue Sky,Creating a sustainable energy solution for urban environments.,2022-11-01,2023-12-31,2,Completed,750000.5
3,Project Nightingale,Building a telehealth platform for remote patient care.,2023-03-01,2024-09-30,3,In Progress,600000.75
4,Project Titan,Developing a new generation of electric vehicles.,2022-09-15,2024-03-15,4,In Progress,1200000.0
5,Project Aurora,Creating a virtual reality training program for first responders.,2023-05-01,2024-11-30,5,In Progress,450000.25
6,Project Gemini,Designing a smart home system for elderly individuals.,2022-07-01,2023-08-31,6,Completed,300000.0
7,Project Voyager,Developing a new space exploration technology.,2023-02-15,2025-01-31,7,In Progress,2000000.0
8,Project Olympus,Creating a data analytics platform for healthcare providers.,2022-12-01,2024-05-31,8,In Progress,800000.5
9,Project Zenith,Building a new social media platform for professionals.,2023-04-01,2024-10-31,9,In Progress,550000.75
10,Project Nova,Developing a new cybersecurity solution for businesses.,2022-10-15,2023-11-30,10,Completed,400000.0
