company_id,name,address,city,state,zip_code,phone_number,industry,website
1,Acme Corp,123 Main St,Anytown,CA,91234,555-123-4567,Technology,www.acmecorp.com
2,Beta Industries,456 Oak Ave,Springfield,IL,62704,555-222-3333,Manufacturing,www.betaindustries.com
3,Gamma Solutions,789 Pine Ln,Denver,CO,80202,555-444-5555,Consulting,www.gammasolutions.com
4,Delta Systems,101 Elm St,Austin,TX,73301,555-666-7777,Software,www.deltasystems.com
5,Epsilon Enterprises,222 Maple Dr,Miami,FL,33101,555-888-9999,Retail,www.epsilonenterprises.com
6,Zeta Group,333 Birch Rd,Seattle,WA,98101,555-111-2222,Aerospace,www.zetagroup.com
7,Eta Corporation,444 Cedar Ave,New York,NY,10001,555-333-4444,Finance,www.etacorp.com
8,Theta Inc.,555 Willow Ln,Chicago,IL,60601,555-555-6666,Food,www.thetainc.com
9,Iota Holdings,666 Oak St,Los Angeles,CA,90001,555-777-8888,Entertainment,www.iotaholdings.com
10,Kappa Ltd.,777 Pine Ave,Houston,TX,77001,555-999-0000,Energy,www.kappaltd.com
