review_id,employee_id,reviewer_id,review_date,rating,comments,goals_set,review_status
1,1,2,2023-01-15,4,Employee consistently exceeds expectations.,Improve communication skills.,Draft
2,2,3,2023-02-20,3,"Meets expectations, needs improvement in project management.",Complete project management training.,Draft
3,3,4,2023-03-10,5,"Exceptional performance, a valuable asset to the team.",Mentor junior team members.,Draft
4,4,5,2023-04-05,2,Needs significant improvement in several areas.,Improve attendance and punctuality.,Draft
5,5,6,2023-05-12,4,"Good performance, demonstrates strong teamwork skills.",Lead a small project.,Draft
6,6,7,2023-06-18,3,"Meets expectations, could improve time management.",Attend time management workshop.,Draft
7,7,8,2023-07-22,5,"Outstanding performance, consistently exceeds goals.",Present at an industry conference.,Draft
8,8,9,2023-08-01,2,"Performance is below expectations, needs immediate improvement.",Complete mandatory training modules.,Draft
9,9,10,2023-09-25,4,"Above average performance, shows initiative and dedication.",Take on more responsibilities.,Draft
10,10,1,2023-10-30,3,"Meets expectations, needs to improve attention to detail.",Implement a checklist system.,Draft
