review_id,employee_id,reviewer_id,review_date,rating,comments,goals_set,review_status
1,1,2,2023-01-15,4,Excellent performance this quarter.,Focus on leadership skills.,Draft
2,2,3,2023-02-20,3,"Good performance, needs improvement in communication.",Improve communication skills.,Draft
3,3,4,2023-03-25,5,"Outstanding performance, exceeded expectations.",Continue high-level performance.,Draft
4,4,5,2023-04-30,2,Needs significant improvement in several areas.,Improve productivity and teamwork.,Draft
5,5,6,2023-05-05,4,"Strong technical skills, good team player.",Explore new technologies.,Draft
6,6,7,2023-06-10,3,"Consistent performance, meets expectations.",Seek opportunities for professional development.,Draft
7,7,8,2023-07-15,5,Exceptional problem-solving abilities.,Mentor junior team members.,Draft
8,8,9,2023-08-20,2,Requires more training and guidance.,Complete required training courses.,Draft
9,9,10,2023-09-25,4,Demonstrates excellent customer service skills.,Lead a customer service initiative.,Draft
10,10,1,2023-10-30,3,Reliable and dependable team member.,Take on more challenging projects.,Draft
