project_id,name,description,start_date,end_date,company_id,project_status,budget
1,Project Phoenix,Development of a new AI-powered platform.,2023-01-15,2024-06-30,1,In Progress,500000.0
2,Operation Green Earth,Implementation of sustainable energy solutions.,2022-11-01,2023-12-31,2,Completed,350000.0
3,Project Nightingale,Development of a healthcare mobile application.,2023-03-01,2024-03-01,3,In Progress,600000.0
4,Project Titan,Infrastructure upgrade for data centers.,2022-09-15,2023-05-31,4,Completed,400000.0
5,Project Aurora,Research and development of quantum computing.,2023-06-01,2025-12-31,5,Planning,1000000.0
6,Project Chimera,Integration of IoT devices into smart homes.,2022-07-01,2023-07-01,6,Completed,250000.0
7,Project Voyager,Exploration of new markets in Southeast Asia.,2023-04-15,2024-09-30,7,In Progress,750000.0
8,Project Atlas,Mapping and analysis of urban development patterns.,2022-12-01,2023-08-31,8,Completed,300000.0
9,Project Olympus,Development of a cloud-based gaming platform.,2023-02-01,2024-07-31,9,In Progress,800000.0
10,Project Galaxy,Big data analysis for customer behavior prediction.,2022-10-15,2023-06-30,10,Completed,450000.0
