review_id,employee_id,reviewer_id,review_date,rating,comments,goals_set,review_status
1,1,2,2023-01-15,4,"Good performance overall, needs improvement in teamwork.",Improve collaboration skills and participate actively in team projects.,Draft
2,2,3,2023-02-20,5,"Excellent performance, consistently exceeds expectations.",Continue to excel and mentor junior team members.,Draft
3,3,4,2023-03-25,3,"Meets expectations, needs to focus on time management.",Improve time management skills and prioritize tasks effectively.,Draft
4,4,5,2023-04-30,4,"Good technical skills, needs to improve communication.",Enhance communication skills and participate in presentation workshops.,Draft
5,5,6,2023-05-05,2,Needs significant improvement in several areas.,Develop a performance improvement plan with specific milestones.,Draft
6,6,7,2023-06-10,5,"Outstanding performance, a valuable asset to the team.",Lead a key project and present findings to senior management.,Draft
7,7,8,2023-07-15,3,"Consistent performance, but could be more proactive.",Take initiative on new projects and propose innovative solutions.,Draft
8,8,9,2023-08-20,4,"Strong analytical skills, needs to improve documentation.","Enhance documentation practices and create clear, concise reports.",Draft
9,9,10,2023-09-25,1,Performance is below expectations and requires immediate attention.,Complete mandatory training and demonstrate significant improvement within 3 months.,Draft
10,10,1,2023-10-30,5,Exceptional leadership and strategic thinking.,Lead a cross-functional team to achieve a critical business objective.,Draft
