company_id,name,address,city,state,zip_code,phone_number,industry,website
1,Acme Corp,123 Main St,Anytown,CA,91234,555-123-4567,Technology,www.acme.com
2,Beta Industries,456 Oak Ave,Springfield,IL,62704,217-555-7890,Manufacturing,www.betaind.net
3,Gamma Solutions,789 Pine Ln,Denver,CO,80202,303-555-2345,Consulting,www.gamma.org
4,Delta Group,101 Elm Rd,Miami,FL,33101,305-555-6789,Finance,www.delta.com
5,Epsilon Enterprises,222 Maple Dr,Seattle,WA,98101,206-555-3456,Retail,www.epsilon.net
6,Zeta Corp,333 Birch Ct,Austin,TX,73301,512-555-9012,Energy,www.zeta.org
7,Eta Industries,444 Cedar Ave,New York,NY,10001,212-555-4567,Media,www.eta.com
8,Theta Solutions,555 Oak St,Chicago,IL,60601,312-555-7890,Healthcare,www.theta.net
9,Iota Group,666 Pine Ave,Los Angeles,CA,90001,213-555-2345,Entertainment,www.iota.org
10,Kappa Enterprises,777 Elm St,Boston,MA,02101,617-555-6789,Education,www.kappa.com
