project_id,name,description,start_date,end_date,company_id,project_status,budget
1,Project Phoenix,Develop a new AI-powered marketing platform.,2023-01-15,2024-06-30,1,In Progress,500000.0
2,Operation Clean Sweep,Implement a comprehensive data governance strategy.,2022-11-01,2023-05-15,2,Completed,250000.0
3,Project Nightingale,Design and launch a new telehealth service.,2023-03-01,2024-09-30,3,Planning,750000.0
4,Project Blue Sky,Explore new renewable energy sources.,2022-09-01,2023-12-31,4,Planning,1000000.0
5,Project Gold Rush,Expand into new international markets.,2023-05-01,2024-03-31,5,In Progress,600000.0
6,Project Iron Curtain,Enhance cybersecurity infrastructure.,2022-07-01,2023-01-31,6,Completed,300000.0
7,Project Silver Lining,Develop a new employee wellness program.,2023-07-01,2024-01-31,7,Planning,150000.0
8,Project Green Thumb,Implement sustainable supply chain practices.,2022-12-01,2023-06-30,8,Completed,400000.0
9,Project Red Dawn,Modernize legacy IT systems.,2023-02-15,2024-08-31,9,In Progress,800000.0
10,Project Black Box,Research and develop new encryption technologies.,2023-04-01,2024-02-29,10,Planning,900000.0
